--  This is WORDS 1.97 dictionary - The order is not exactly alphabetic
A: INTERJ             \Ah!; (distress/regret/pity, appeal/entreaty, surprise/joy, objection/contempt);
A, ABB.: N      9 8 M       \Aulus, Roman praenomen; abbreviated A./Au.; Absolvo (free), Antiquo (reject);
A, ABB.: N      9 8 M       \year; abb. ann./a.; (regnavit a(nnis). XLIIII => he reigned for 44 years);
A: PREP   ABL         \by (agent), from (departure, cause, remote origin/time); after (reference);
A: PREP   ACC         \ante, abb. a; (in calendar expression a. d. = ante diem => before the day);
AB: PREP   ABL         \by (agent), from (departure, cause, remote origin (time); after (reference);
ABACUS, ABACI: N      2 1 M       \small table for cruets, credence, shelf/niche near altar for Eucharist elements;
ABACUS, ABACI: N      2 1 M       \|counting-board; side-board; slab table; panel; square stone on top of column;
ABACTUS, ABACTA, ABACTUM: ADJ    1 1 POS     \driven away/off/back; forced to resign (office); restrained by; passed (night);
ABACTUS, ABACTUS: N      4 1 M       \cattle thieving, stealing of cattle, rustling;
ABACTIUS, ABACTIA, ABACTIUM: ADJ    1 1 POS     \stolen/rustled (of cattle);
ABACTOR, ABACTORIS: N      3 1 M       \cattle thief, rustler; one who drives off;
ABACULUS, ABACULI: N      2 1 M       \tessera/small cube of colored glass for ornamental pavements/wall mosaics;
ABAESTUO, ABAESTUARE, ABAESTUAVI, ABAESTUATUS: V      1 1         \wave down; hang down richly (poet.);
ABAGMENTUM, ABAGMENTI: N      2 2 N       \means for obtaining abortions?;
ABALIENO, ABALIENARE, ABALIENAVI, ABALIENATUS: V      1 1         \make alien; separate, abstract; alienate, estrange, make disaffected;
ABALIENO, ABALIENARE, ABALIENAVI, ABALIENATUS: V      1 1         \|transfer (sale/contract); remove, take away, dispose of; numb/deaden;
ABALIENATUS, ABALIENATA, ABALIENATUM: ADJ    1 1 POS     \unfriendly, estranged; dead/mortified (medical, of tissues);
ABALIENATIO, ABALIENATIONIS: N      3 1 F       \transfer of property (legal), sale; cession; alienation;
ABAMBULO, ABAMBULARE, ABAMBULAVI, ABAMBULATUS: V      1 1         \go away;
ABAMITA, ABAMITAE: N      1 1 F       \great-great-great aunt; sister of abavus (gt-gt-grandfather); female ancestor;
ABANTE: ADV    POS         \in front (of); before;
ABANTE: PREP   ABL         \from before/in front of;
ABARCEO, ABARCERE, -, -: V      2 1         \keep away;
ABASCANTUS, ABASCANTA, ABASCANTUM: ADJ    1 1 POS     \unenvied?;
ABAVUS, ABAVI: N      2 1 M       \ancestor, forefather; great-great grandfather, grandfather's grandfather;
ABAVIA, ABAVIAE: N      1 1 F       \ancestress; great-great grandmother;
ABAVUNCULUS, ABAVUNCULI: N      2 1 M       \great-great-great-great uncle; remote ancestor;
ABAX, ABACIS: N      3 1 M       \counting-board; side-board; slab table; panel; square stone on top of column;
ABBA, UNDECLINED: N      9 9 M       \Father (Aramaic) (also false read for obba - decanter);
ABBAS, ABBATIS: N      3 1 M       \abbot; head of an ecclesiastical community; father; any respected monk (early);
ABBATIA, ABBATIAE: N      1 1 F       \abbey, monastery;
ABBATIALIS, ABBATIALIS, ABBATIALE: ADJ    3 2 POS     \of/pertaining to an abbot/abbey;
ABBATISSA, ABBATISSAE: N      1 1 F       \abbess;
ABBIBO, ABBIBERE, ABBIBI, -: V      3 1         \drink (in addition), take in by drinking; drink in, absorb, listen eagerly to;
ABBITO, ABBITERE, -, -: V      3 1         \approach, come/draw near;
ABBREVIO, ABBREVIARE, ABBREVIAVI, ABBREVIATUS: V      1 1         \shorten, cut off; abbreviate, abstract; epitomize (Souter); break off; weaken;
ABBREVIATUS, ABBREVIATA, ABBREVIATUM: ADJ    1 1 POS     \abridged, shortened, cut off; straitened, contracted, narrowed; abbreviated;
ABBREVIATIO, ABBREVIATIONIS: N      3 1 F       \abbreviation; diminution; epitome (Souter); shortening;
ABBREVIATOR, ABBREVIATORIS: N      3 1 M       \summerizer; one who makes abstracts/epitomes from papal bulls;
ABDO, ABDERE, ABDIDI, ABDITUS: V      3 1         \remove, put away, set aside; depart, go away; hide, keep secret, conceal;
ABDICO, ABDICARE, ABDICAVI, ABDICATUS: V      1 1         \resign, abdicate; abolish; disinherit; renounce, reject, expel, disapprove of;
ABDICO, ABDICERE, ABDIXI, ABDICTUS: V      3 1         \be against, reject; withhold (someone's right); forbid by unfavorable omen;
ABDICATUS, ABDICATI: N      2 1 M       \disowned/disinherited son;
ABDICATIO, ABDICATIONIS: N      3 1 F       \renunciation; disowning/disinheriting (son); resignation/abdication (office);
ABDICATIVUS, ABDICATIVA, ABDICATIVUM: ADJ    1 1 POS     \negative;
ABDICATIVE: ADV    POS         \negatively;
ABDICATRIX, ABDICTRICIS: N      3 1 F       \renouncer (female); she who renounces/disclaims something;
ABDITUS, ABDITA, ABDITUM: ADJ    1 1 POS     \hidden, secret, out of the way, remote, secluded; obscure/abstruse (meaning);
ABDITUM, ABDITI: N      2 2 N       \hidden/secret/out of the way place, lair, (in) secret;
ABDITE: ADV    POS         \secretly;
ABDITIVUS, ABDITIVA, ABDITIVUM: ADJ    1 1 POS     \removed, separated (from);
ABDOMEN, ABDOMINIS: N      3 2 N       \abdomen, paunch, lower part of the belly; gluttony; as indicative of obesity;
ABDUCO, ABDUCERE, ABDUXI, ABDUCTUS: V      3 1         \lead away, carry off; detach, attract away, entice, seduce, charm; withdraw;
ABDUCTIO, ABDUCTIONIS: N      3 1 F       \abduction, forcible carrying off; robbing; retirement (Vulg. Eccli.);
ABEO, ABIRE, ABIVI(II), ABITUS: V      6 1         \depart, go away; go off, go forth; pass away, die, disappear; be changed;
ABECEDARIUS, ABECEDARIA, ABECEDARIUM: ADJ    1 1 POS     \alphabetical; belonging to the alphabet;
ABECEDARIA, ABECEDARIAE: N      1 1 F       \elementary introduction; the A, B, C's of the matter;
ABECEDARIUS, ABECEDARII: N      2 1 M       \one who learns the A, B, C's;
ABECEDARIUM, ABECEDARII: N      2 2 N       \alphabet;
ABECETUORIUM, ABECETUORII: N      2 2 N       \act of tracing Greek and Latin alphabets on church floor while consecrating;
ABELLANUS, ABELLANA, ABELLANUM: ADJ    1 1 POS     \filbert/hazel (w/nut); of Abella (town in Campania noted for fruit/filberts);
ABELLANA, ABELLANAE: N      1 1 F       \filbert, hazel nut;
ABEQUITO, ABEQUITARE, ABEQUITAVI, ABEQUITATUS: V      1 1         \ride away;
ABERCEO, ABERCERE, -, -: V      2 1         \keep away; forbid;
ABERRO, ABERRARE, ABERRAVI, ABERRATUS: V      1 1         \stray, wander, deviate; go/be/do wrong; be unfaithful; escape; disagree (with);
ABERRATIO, ABERRATIONIS: N      3 1 F       \diversion, relief;
ABFERO, ABFERRE, -, -: V      3 2         \bear, take away, remove, obtain, carry off/away, steal (wrong form of aufero);
ABFLUO, ABFLUERE, ABFLUXI, -: V      3 1         \flow/stream/issue (from); flow away; be abundant, abound (in w/ABL);
ABFUGIO, ABFUGERE, ABFUGI, -: V      3 1         \flee (from), shun; run/fly away, escape; disappear/vanish (things); (bad aufugio
ABHIBEO, ABHIBERE, -, -: V      2 1         \hold at a distance;
ABHINC: ADV    POS         \since, ago, in past; from this time, henceforth; from this place, hence;
