###############################################################################
###                                                                         ###
###  DESCRIPTION: this is a dictionary of Scottish words                    ###
###  KEYWORDS: words, scottish, english, dictionary.                        ###
###                                                                         ###
###  Input format: lines of <word><definition>, where                       ###
###      <word> -->         letters <tab><tab> | "letters*"                 ###
###      <definition> -->   ["[" string "]"](<def>"; ")*<def>"."            ###
###      <def> -->          [^;]*                                           ###
###                                                                         ###
###  Alternate forms of words are in [...]                                  ###
###                                                                         ###
###############################################################################

a'              all
ablach          a dwarf; an insignificant person.
aboon           [abune]; above; over.
abread          abroad; in breadth.
acquent         acquainted.
ae              one.
aff-lufe        off-hand; at once.
afore           before; in front.
aft             often.
agley           aslant; not straight.
ahint           behind.
aiblins         perhaps.
aidle           foul water.
aik             oak.
aiken           made of oak.
ain             own.
aince           once.
airles          earnest-money; a deposit to secure a bargain.
airm            arm.
airn            iron.
airt            direction; point of the compass.
airtit          directed.
aits            oats.
aizle           a red ember.
ajee            half-open; to one side.
a'maist         almost.
ane             one.
aneth           beneath.
aneuch          enough.
antrin          occasional.
atweel          in truth; certainly.
atweel na       by no means.
aucht           eight.
aught           anything.
auld            old.
auld-farrant    old-fashioned.
auld lang syne  long ago
Auld Reekie     Edinburgh; (lit., old smokey)
aumous          alms; a gift to a beggar.
ava             at all; of all.
awee            a little
ay              yes
ayont           beyond; behind.

ba'             ball
bailie          alderman
bairn           child
bairned         pregnant, made pregnant
baith           both
bakes           biscuits
ballants        ballads
ban             to swear
bandster        a binder of sheaves
bane            bone
bannock         falt cake of bread
barkit          dirtied; encrusted with dirt
barley-bree     whiskey; (lit. juice of the barley)
barra           a barrow
baudrons        a generic term for a cat
bauld           bold
bawbee          a half penny
bawds           hares
beet            to feed; to warm
begood          began
ben             in; inner room; inside
benmaist        innermost
bent            coarse grass; open field of rough grass
bere            barley
beuk            a book
bide            stay
bield           shelter
bieldy          sheltered
big             to build
biggs           builds
bike            a nest; (a bummie's bike = a wasp's nest)
bing            a heap
birk            the birch tree
birl            turn
birn            burden
birse           impudence
bizzem          a bad girl; a randy woman
blae            livid
blate           bashful; shy
blaw            to blow; to boast
bleer           to smear
bleeze          flame
blether         to talk idly
blethers        idle talk; nonsense
blicht          blithe; happy
blude           (or bluid); blood
bocht           bought
bock            to gush forth; to vomit; the sickness
bodach          an old man
bogle           a hobgoblin; a ghost
bonnie          beautiful
boo'er          a bower
bool            a marble; to bowl
bools           the game of bowls
boortree        a hole; a nook
boune           to get ready; prepare; till
bour            a bower
brae            slope; upper part of a hill
braid           broad
brander         to grill
braw            handsome; fine; good
brawlie         finely; very well
braxie          a sheep that has died of disease
bree            juice; liquid
breeks          breeches; trousers
breenge         to plunge forward rashly
breist          breast
bricht          bright
brock           a badger
brogue          a shoe
brose           porridge; gruel; oatmeal and water
bucht           a sheep-pen
buirdly         stoutly built; broad-shouldered
buit            a boot
bunemaist       highest
burn            a stream; a brook
busk            to dress
but-an-ben      small cottage; house with only two rooms
but             (or bot); without; outer;

caird           a tinker; a sturdy beggar
cairn           a heaped-up pile of stones
caller          fresh; cool
cam             came
canna           cannot
cannas          canvas
cannie          gentle
cantie          cheerful; lively
cantrip         a spell; a charm
carle           an old man
carlin          a strong old woman
ca's            calves
cauld           cold
cauper          a turner
caur            a calf; a car
chanter         the tune-pipe of bagpipes; a single pipe for practice
chap            to knock; to rap
chapman         a pedlar; a packman
cheek for chow  side by side
cheep           chirp
chiel           a youth
clachan         a small village; a hamlet
claes           clothes
claik           (or clash); gossip
claith          cloth
claut           scrape; a little of anything
claw            to scratch
claymor         a big sword; a broadsword
cled            clothed
cleedin         clothing
cleek           a hook
cleekit         linked or hookd together; strung up
cleekit-shalt   a pony suffering from string-halt
clegs           gadflies
clishmaclaver   idle conversation
cloker          a broody hen
cloot           the hoof
clootie         the devil
clout           a rag
clud            a cloud
coft            bought
cog             (or coggie); a wooden dish; a small basin
connached       abused; wasted; destroyed
cooser          a stallion
corbies         carrion crows; ravens
